REGION,LEVEL,STATE,TYPE,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
NORTH CENTER,ELEMENTARY,SAN LUIS POTOSÍ,PRIVATE,28815,28585,27403,27142,27584,27488,29114,29348
NORTH CENTER,JR HIGH,SAN LUIS POTOSÍ,PUBLIC,143708,146949,159148,159247,157191,146112,140592,136086
NORTH CENTER,JR HIGH,SAN LUIS POTOSÍ,PRIVATE,11149,11866,13069,13748,13826,12938,13665,13930
NORTH CENTER,HIGH SCHOOL,SAN LUIS POTOSÍ,PUBLIC,88336,66177,67385,68892,69053,74777,71895,71971
NORTH CENTER,HIGH SCHOOL,SAN LUIS POTOSÍ,PRIVATE,12118,38328,38080,39002,38941,42131,42848,38509
NORTH CENTER,UNIVERSITY,SAN LUIS POTOSÍ,PUBLIC,43371,44814,46439,48708,51105,53015,59446,61534
NORTH CENTER,UNIVERSITY,SAN LUIS POTOSÍ,PRIVATE,13794,14791,15224,16269,16599,17292,18026,18029
NORTH CENTER,ELEMENTARY,SINALOA,PUBLIC,315034,315441,305357,300357,295223,291337,286815,285012
NORTH CENTER,ELEMENTARY,SINALOA,PRIVATE,30761,31644,31353,32134,33430,34079,35274,35581
NORTH CENTER,JR HIGH,SINALOA,PUBLIC,142437,136028,146663,145994,148071,141196,139151,138683
NORTH CENTER,JR HIGH,SINALOA,PRIVATE,12462,13208,14145,14640,15168,14549,15428,15824
NORTH CENTER,HIGH SCHOOL,SINALOA,PUBLIC,117334,123578,120526,122923,118580,129752,125565,127361
NORTH CENTER,HIGH SCHOOL,SINALOA,PRIVATE,10825,13806,13853,13910,14100,15798,14876,15163
NORTH CENTER,UNIVERSITY,SINALOA,PUBLIC,82024,86561,92568,98617,103023,103853,114702,115699
NORTH CENTER,UNIVERSITY,SINALOA,PRIVATE,12747,13029,12777,12694,13076,12607,14043,14694
NORTH,ELEMENTARY,SONORA,PUBLIC,308465,292604,288651,285014,281925,279303,272950,268617
NORTH,ELEMENTARY,SONORA,PRIVATE,34409,33860,33786,34623,35767,36513,37854,38909
NORTH,JR HIGH,SONORA,PUBLIC,138554,151762,153331,149595,134807,131927,130044,131241
NORTH,JR HIGH,SONORA,PRIVATE,14118,16379,17148,17790,17081,16915,17417,18238
NORTH,HIGH SCHOOL,SONORA,PUBLIC,93976,94875,97304,99706,108974,109093,105739,99305
NORTH,HIGH SCHOOL,SONORA,PRIVATE,17282,16362,16971,17565,19742,20159,16406,16860
NORTH,UNIVERSITY,SONORA,PUBLIC,77273,78074,80237,82179,84766,85959,95256,102041
NORTH,UNIVERSITY,SONORA,PRIVATE,14949,15394,13982,15852,15667,15741,13251,15336
SOUTH,ELEMENTARY,TABASCO,PUBLIC,279358,277498,277634,279064,278194,276228,272725,272436
SOUTH,ELEMENTARY,TABASCO,PRIVATE,16418,17028,17243,17347,16991,17150,16255,16411
SOUTH,JR HIGH,TABASCO,PUBLIC,124752,127865,130720,128411,127543,128092,12786,127038
SOUTH,JR HIGH,TABASCO,PRIVATE,7281,8027,8334,8114,8007,8029,7774,7957
SOUTH,HIGH SCHOOL,TABASCO,PUBLIC,91205,91930,94592,99679,103488,106234,103550,104111
SOUTH,HIGH SCHOOL,TABASCO,PRIVATE,7472,7947,8479,8624,8497,8325,9268,8329
SOUTH,UNIVERSITY,TABASCO,PUBLIC,54810,56508,59381,61487,61387,61787,62459,63980
SOUTH,UNIVERSITY,TABASCO,PRIVATE,8805,8991,8246,8049,7455,7038,8824,9540
NORTH,ELEMENTARY,TAMAULIPAS,PUBLIC,371565,357296,358149,356344,353847,350015,344814,339498
NORTH,ELEMENTARY,TAMAULIPAS,PRIVATE,29313,30040,31307,32084,33340,34283,35905,37293
NORTH,JR HIGH,TAMAULIPAS,PUBLIC,158544,164342,167692,165382,158797,158260,156083,157203
NORTH,JR HIGH,TAMAULIPAS,PRIVATE,12372,13673,14654,15048,15133,15209,16433,17412
NORTH,HIGH SCHOOL,TAMAULIPAS,PUBLIC,94187,90513,94098,98593,101172,100758,100139,98882
NORTH,HIGH SCHOOL,TAMAULIPAS,PRIVATE,26902,35316,35251,38489,40950,42700,41203,41317
NORTH,UNIVERSITY,TAMAULIPAS,PUBLIC,68456,68576,69227,71984,72616,73289,80884,85038
NORTH,UNIVERSITY,TAMAULIPAS,PRIVATE,29429,29688,31392,33314,35083,36222,45206,50975
CENTER,ELEMENTARY,TLAXCALA,PUBLIC,144513,142744,141971,141022,139302,138309,138116,137664
CENTER,ELEMENTARY,TLAXCALA,PRIVATE,13398,13596,13948,14130,14573,14871,15390,15216
CENTER,JR HIGH,TLAXCALA,PUBLIC,66143,69048,70453,72355,70956,70606,69612,69020
CENTER,JR HIGH,TLAXCALA,PRIVATE,4451,4620,4729,4965,5198,5216,5469,5376
CENTER,HIGH SCHOOL,TLAXCALA,PUBLIC,46277,46881,48316,47550,49078,49720,51357,50208
CENTER,HIGH SCHOOL,TLAXCALA,PRIVATE,6188,6509,6323,6321,6582,6784,6665,6389
CENTER,UNIVERSITY,TLAXCALA,PUBLIC,21827,23101,23724,26523,28010,29319,31720,33020
CENTER,UNIVERSITY,TLAXCALA,PRIVATE,3054,3067,3405,3439,3770,3915,4298,4501
SOUTH,ELEMENTARY,VERACRUZ,PUBLIC,926927,895953,874018,851960,830077,809106,799582,786051
